Species,Loc
Bunomys_andrewsi,3
Bunomys_chrysocomus,3
Bunomys_coelestis,3
Bunomys_fratrorum,3
Bunomys_penitus,3
Bunomys_prolatus,3
Bunomys_torajae,3
Crunomys_celebensis,3
Echiothrix_centrosa,3
Echiothrix_leucura,3
Eropeplus_canus,2
Gracillimus_radix,3
Haeromys_minahassae,1
Hyorhinomys_steumpkei,3
Lenomys_meyeri,2
Margaretamys_elegans,1
Margaretamys_parvus,1
Maxomys_dollmani,3
Maxomys_hellwaldii,3
Maxomys_musschenbroekii,3
Maxomys_wattsi,3
Melasmothrix_naso,3
Paruromys_dominator,2
Paucidentomys_vermidax,3
Rattus_botanus,3
Rattus_facetus,3
Rattus_hoffmani,2
Rattus_marmosurus,2
Rattus_mollicomulus,3
Rattus_xanthurus,3
Sommeromys_macrorhinos,1
Taeromys_callitrichus,3
Taeromys_celebensis,2
Taeromys_hamatus,3
Taeromys_sp_katopasa,3
Taeromys_tarae,3
Tateomys_macrocercus,3
Tateomys_rhinogradoides,3
Waiomys_mamasae,4